Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,log_rtn,ma14,rsi14,ma50,rsi50,ma200,rsi200,vol_1d_change,vol_1d_change_ma10,1d_future_log_rtn,log_rtn_lag_0,log_rtn_lag_1,log_rtn_lag_2,log_rtn_lag_3,log_rtn_lag_4,log_rtn_lag_5,log_rtn_lag_6,log_rtn_lag_7,log_rtn_lag_8,log_rtn_lag_9,log_rtn_lag_10,log_rtn_lag_11,log_rtn_lag_12,log_rtn_lag_13,log_rtn_lag_14,month,month_sin,month_cos,1d_future_month,1d_future_month_sin,1d_future_month_cos
2000-02-02,59.5,59.56,58.63,58.63,655400.0,0.0,1.0,47.221373667326,47.26899185926,46.530909884291,46.530909884291,655400.0,-0.018922679835499782,43.65376531328534,57.04576315431725,,,,,-0.10889408823913739,0.07473839479556506,-0.01183851863490768,-0.018922679835499782,0.010430780978884488,0.052067980878633006,-0.028452920447799037,0.08032990719301379,-0.002424243611504277,0.03198304585304902,-0.016781476962004785,0.008355536647932277,-0.01776648508087387,0.010735577257535104,-0.05202205736836859,0.01704174672851563,0.0834770128554626,0.008583743691380648,2,0.8660254037844386,0.5000000000000001,2.0,0.8660254037844386,0.5000000000000001
2000-02-03,58.56,59.5,57.13,57.94,297300.0,0.0,1.0,46.475355327036,47.221373667326,45.340455085955,45.983300677057,297300.0,-0.01183851863490768,43.85349310426462,55.10627792079617,,,,,-0.7905040062606622,-0.021388453879492543,-0.04645426833461666,-0.01183851863490768,-0.018922679835499782,0.010430780978884488,0.052067980878633006,-0.028452920447799037,0.08032990719301379,-0.002424243611504277,0.03198304585304902,-0.016781476962004785,0.008355536647932277,-0.01776648508087387,0.010735577257535104,-0.05202205736836859,0.01704174672851563,0.0834770128554626,2,0.8660254037844386,0.5000000000000001,2.0,0.8660254037844386,0.5000000000000001
2000-02-04,57.88,58.13,55.0,55.31,240400.0,0.0,1.0,45.935682485123,46.134091618179,43.650009272318,43.896036597308,240400.0,-0.04645426833461666,43.851109831026626,48.357593718958036,,,,,-0.21243752734299945,-0.06244959431268339,-0.0010853836087371964,-0.04645426833461666,-0.01183851863490768,-0.018922679835499782,0.010430780978884488,0.052067980878633006,-0.028452920447799037,0.08032990719301379,-0.002424243611504277,0.03198304585304902,-0.016781476962004785,0.008355536647932277,-0.01776648508087387,0.010735577257535104,-0.05202205736836859,0.01704174672851563,2,0.8660254037844386,0.5000000000000001,2.0,0.8660254037844386,0.5000000000000001
2000-02-07,55.38,55.75,53.88,55.25,384300.0,0.0,1.0,43.951591154563,44.245236671486,42.761136356228,43.848418405374,384300.0,-0.0010853836087371964,44.00438757678477,48.212530223698366,,,,,0.4691192949097457,-0.039946221914394134,0.049608618198636004,-0.0010853836087371964,-0.04645426833461666,-0.01183851863490768,-0.018922679835499782,0.010430780978884488,0.052067980878633006,-0.028452920447799037,0.08032990719301379,-0.002424243611504277,0.03198304585304902,-0.016781476962004785,0.008355536647932277,-0.01776648508087387,0.010735577257535104,-0.05202205736836859,2,0.8660254037844386,0.5000000000000001,2.0,0.8660254037844386,0.5000000000000001
2000-02-08,55.06,58.44,55.0,58.06,366000.0,0.0,1.0,43.697627464252,46.380118943169,43.650009272318,46.078537060924,366000.0,0.049608618198636004,44.28480861807634,55.01818864709048,,,,,-0.048790164169432056,-0.030635902623518986,-0.051782925994908795,0.049608618198636004,-0.0010853836087371964,-0.04645426833461666,-0.01183851863490768,-0.018922679835499782,0.010430780978884488,0.052067980878633006,-0.028452920447799037,0.08032990719301379,-0.002424243611504277,0.03198304585304902,-0.016781476962004785,0.008355536647932277,-0.01776648508087387,0.010735577257535104,2,0.8660254037844386,0.5000000000000001,2.0,0.8660254037844386,0.5000000000000001
2000-02-09,58.56,58.69,54.0,55.13,935800.0,0.0,1.0,46.475355327036,46.578528076225,42.856372740094,43.753182021507,935800.0,-0.051782925994908795,44.45215364364476,47.94330349256286,,,,,0.9387684450307496,0.05470587119910706,-0.003452351934451867,-0.051782925994908795,0.049608618198636004,-0.0010853836087371964,-0.04645426833461666,-0.01183851863490768,-0.018922679835499782,0.010430780978884488,0.052067980878633006,-0.028452920447799037,0.08032990719301379,-0.002424243611504277,0.03198304585304902,-0.016781476962004785,0.008355536647932277,-0.01776648508087387,2,0.8660254037844386,0.5000000000000001,2.0,0.8660254037844386,0.5000000000000001
2000-02-10,55.44,56.5,54.75,54.94,362500.0,0.0,1.0,43.999209346497,44.840464070654,43.451600139262,43.602391080385,362500.0,-0.003452351934451867,44.583909653624765,47.516597146508225,,,,,-0.9483773041373864,-0.09814842108937719,-0.004560803308446498,-0.003452351934451867,-0.051782925994908795,0.049608618198636004,-0.0010853836087371964,-0.04645426833461666,-0.01183851863490768,-0.018922679835499782,0.010430780978884488,0.052067980878633006,-0.028452920447799037,0.08032990719301379,-0.002424243611504277,0.03198304585304902,-0.016781476962004785,0.008355536647932277,2,0.8660254037844386,0.5000000000000001,2.0,0.8660254037844386,0.5000000000000001
2000-02-11,55.44,56.0,54.5,54.69,448800.0,0.0,1.0,43.999209346497,44.443645804542,43.253191006206,43.403981947329,448800.0,-0.004560803308446498,44.751130050831634,46.92479757642409,,,,,0.21355287991375713,-0.05797828439935575,-0.010292316549785057,-0.004560803308446498,-0.003452351934451867,-0.051782925994908795,0.049608618198636004,-0.0010853836087371964,-0.04645426833461666,-0.01183851863490768,-0.018922679835499782,0.010430780978884488,0.052067980878633006,-0.028452920447799037,0.08032990719301379,-0.002424243611504277,0.03198304585304902,-0.016781476962004785,2,0.8660254037844386,0.5000000000000001,2.0,0.8660254037844386,0.5000000000000001
2000-02-14,54.69,55.23,54.06,54.13,199400.0,0.0,1.0,43.403981947329,43.83254567473,42.903990932028,42.959545489284,199400.0,-0.010292316549785057,44.79128040585249,45.556096772508596,,,,,-0.8112644966807486,-0.07925975878484962,0.012484098249131406,-0.010292316549785057,-0.004560803308446498,-0.003452351934451867,-0.051782925994908795,0.049608618198636004,-0.0010853836087371964,-0.04645426833461666,-0.01183851863490768,-0.018922679835499782,0.010430780978884488,0.052067980878633006,-0.028452920447799037,0.08032990719301379,-0.002424243611504277,0.03198304585304902,2,0.8660254037844386,0.5000000000000001,2.0,0.8660254037844386,0.5000000000000001
2000-02-15,54.38,55.5,53.56,54.81,412600.0,0.0,1.0,43.157954622339,44.04682753843,42.507172665916,43.499218331196,412600.0,0.012484098249131406,44.87731148107891,47.55643702034501,,,,,0.7271657431094134,-0.05716612238667,-0.006773481274762701,0.012484098249131406,-0.010292316549785057,-0.004560803308446498,-0.003452351934451867,-0.051782925994908795,0.049608618198636004,-0.0010853836087371964,-0.04645426833461666,-0.01183851863490768,-0.018922679835499782,0.010430780978884488,0.052067980878633006,-0.028452920447799037,0.08032990719301379,-0.002424243611504277,2,0.8660254037844386,0.5000000000000001,2.0,0.8660254037844386,0.5000000000000001
